Lady Gaga,Disease;Abracadabra;Garden Of Eden;Perfect Celebrity;Vanish Into You;Killah (feat. Gesaffelstein);Zombieboy;LoveDrug;How Bad Do U Want Me;Don't Call Tonight;Shadow Of A Man;The Beast;Blade Of Grass;Die With A Smile;Dance In The Dark;I Like It Rough;Sinner’s Prayer;Enigma;ARTPOP;Smile;Electric Chapel;Good Morning;Get Happy (2024);Oh, When The Saints;World On A String;If My Friends Could See Me Now;That's Entertainment;The Joker;Folie à Deux;Gonna Build A Mountain;Close To You;Happy Mistake;That's Life;Sweet Sounds Of Heaven (feat. Lady Gaga);Hold My Hand;Fashion;Alice;Stupid Love;Rain On Me (with Ariana Grande);Free Woman;Fun Tonight;911;Plastic Doll;Sour Candy (with BLACKPINK);Replay;Sine From Above (with Elton John);1000 Doves;Babylon;Just Dance;LoveGame;Paparazzi;Poker Face;Eh, Eh (Nothing Else I Can Say);Beautiful, Dirty, Rich;The Fame;Money Honey;Starstruck;Boys Boys Boys;Paper Gangsta;Brown Eyes;Summerboy;Disco Heaven;Bad Romance;Alejandro;Monster;Speechless;Telephone;So Happy I Could Die;Teeth;Video Phone (feat. Lady Gaga);Marry The Night;Born This Way;Government Hooker;Judas;Americano;Hair;ScheiBe;Bloody Mary;Black Jesus + Amen Fashion;Bad Kids;Fashion Of His Love;Highway Unicorn (Road To Love);Heavy Metal Lover;The Queen;You And I;The Edge Of Glory;Aura;Venus;G.U.Y.;Sexxx Dreams;Jewels N' Drugs;MANiCURE;Do What U Want;Swine;Donatella;Fashion!;Mary Jane Holland;Dope;Gypsy;Applause;Til It Happens To You;Diamond Heart;A-YO;Joanne;John Wayne;Dancin' In Circles;Perfect Illusion;Million Reasons;Come To Mama;Hey Girl;Angel Down;Grigio Girls;Just Another Day;The Cure;Don't Let Me Be Misunderstood (feat. Lady Gaga);I Want Your Love;La Vie En Rose;Shallow - Radio Edit;Music To My Eyes;Diggin' My Grave;Always Remember Us This Way;Look What I Found;Heal Me;I Don't Know What Love Is;Is That Alright?;Why Did You Do That?;Hair Body Face;Before I Cry;I'll Never Love - Extended Version - Radio Edit;Your Song;Love Me Right;1000 Doves (Piano Demo)
Gesaffelstein,Killah (feat. Gesaffelstein)
Bruno Mars,Die With A Smile
The Rolling Stones,Sweet Sounds Of Heaven (feat. Lady Gaga)
Ariana Grande,Rain On Me (with Ariana Grande)
BLACKPINK,Sour Candy (with BLACKPINK)
Elton John,Sine From Above (with Elton John)
Colby O'Donis,Just Dance
Space Cowboy,Starstruck
Flo Rida,Starstruck
Beyoncé,Telephone;Video Phone (feat. Lady Gaga)
William Burke,Video Phone (feat. Lady Gaga)
T.I.,Jewels N' Drugs
Too $hort,Jewels N' Drugs
Twista,Jewels N' Drugs
Christina Aguilera,Do What U Want
Florence Welch,Hey Girl
Brian Newman,Don't Let Me Be Misunderstood (feat. Lady Gaga)
Nile Rodgers,I Want Your Love
CHIC,I Want Your Love
Bradley Cooper,Shallow - Radio Edit;Music To My Eyes;Diggin' My Grave;I Don't Know What Love Is
